Year,Geography,Immig.,Dur. of unempl,Age group,Both sexes, Males, Females
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2016,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,15 years and over,25.8,11.7,14.1
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,15-24 years ,3.3,1.7,1.6
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,25 years and over,22.5,10.0,12.5
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,25-44 years,17.1,6.7,10.4
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,45 years and over,5.4,3.3,2.1
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,25-54 years,21.2,9.4,11.8
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,15-29 years,8.6,3.4,5.3
2016,Ontario,"      Very recent immigrants, 5 years or less",Total unemployed,25-64 years,22.3,9.8,12.5
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15 years and over,9.1,3.5,5.6
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15-24 years ,1.6,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25 years and over,7.5,2.5,5.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-44 years,6.0,1.6,4.4
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,45 years and over,1.5,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-54 years,7.2,2.4,4.8
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,15-29 years,4.0,1.8,2.2
2016,Ontario,"      Very recent immigrants, 5 years or less",   1 - 4 weeks,25-64 years,7.5,2.5,5.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15 years and over,7.6,3.5,4.1
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25 years and over,6.7,3.1,3.5
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-44 years,5.3,2.3,3.1
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,45 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-54 years,6.6,3.1,3.5
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,15-29 years,2.3,0.0,1.5
2016,Ontario,"      Very recent immigrants, 5 years or less",   5 - 13 weeks,25-64 years,6.7,3.1,3.5
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15 years and over,3.1,1.6,1.5
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25 years and over,2.6,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-44 years,2.1,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,45 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-54 years,2.5,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,15-29 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   14 - 25 weeks,25-64 years,2.6,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,15 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,25 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,25-44 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,45 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,25-54 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,15-29 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   26 weeks ,25-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,15 years and over,4.8,2.5,2.3
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,25 years and over,4.7,2.4,2.3
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-44 years,2.7,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,45 years and over,1.9,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-54 years,3.9,2.0,1.8
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,15-29 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   27 weeks or more,25-64 years,4.4,2.2,2.3
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15 years and over,1.9,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25 years and over,1.9,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-44 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,45 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-54 years,1.6,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,15-29 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      27 - 51 weeks,25-64 years,1.7,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,15 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,25 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,25-44 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,45 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,25-54 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,15-29 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      52 weeks,25-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,15 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,25 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-44 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,45 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-54 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,15-29 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",      53 weeks or more,25-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,15 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,25 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,25-44 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,45 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,25-54 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,15-29 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",   Duration unknown,25-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15 years and over,17.2,19.5,15.4
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15-24 years ,8.8,8.3,9.9
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25 years and over,18.5,21.3,16.2
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-44 years,16.0,20.3,13.3
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),45 years and over,26.1,23.4,30.2
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-54 years,17.6,20.8,15.1
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),15-29 years,11.1,9.9,11.6
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (no top-code),25-64 years,18.1,20.9,16.2
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2016,Ontario,"      Very recent immigrants, 5 years or less",Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,15 years and over,137.2,69.8,67.4
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,15-24 years ,20.6,11.7,8.9
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,25 years and over,116.6,58.2,58.4
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,25-44 years,48.3,21.2,27.1
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,45 years and over,68.3,36.9,31.3
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,25-54 years,81.9,38.3,43.5
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,55 years and over,34.7,19.8,14.9
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,55-64 years,30.5,17.0,13.5
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,65 years and over,4.2,2.8,0.0
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,15-29 years,34.6,19.8,14.8
2016,Ontario,      Recent immigrants 5+ years,Total unemployed,25-64 years,112.4,55.3,57.1
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,15 years and over,42.7,20.7,22.0
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,15-24 years ,8.6,4.8,3.8
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,25 years and over,34.2,15.9,18.3
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,25-44 years,14.9,7.8,7.2
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,45 years and over,19.2,8.1,11.1
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,25-54 years,25.0,11.8,13.2
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,55 years and over,9.2,4.1,5.1
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,55-64 years,8.2,3.5,4.7
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,15-29 years,13.8,8.4,5.4
2016,Ontario,      Recent immigrants 5+ years,   1 - 4 weeks,25-64 years,33.1,15.3,17.8
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,15 years and over,33.9,17.3,16.7
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,15-24 years ,7.1,4.3,2.8
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,25 years and over,26.8,12.9,13.9
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,25-44 years,12.2,5.6,6.6
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,45 years and over,14.6,7.4,7.3
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,25-54 years,19.6,9.2,10.4
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,55 years and over,7.2,3.7,3.5
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,55-64 years,6.3,3.1,3.2
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,15-29 years,10.7,6.3,4.4
2016,Ontario,      Recent immigrants 5+ years,   5 - 13 weeks,25-64 years,25.9,12.3,13.6
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,15 years and over,19.6,8.8,10.8
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,15-24 years ,2.1,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,25 years and over,17.5,7.8,9.6
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,25-44 years,8.3,2.5,5.8
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,45 years and over,9.1,5.3,3.8
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,25-54 years,13.4,5.2,8.2
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,55 years and over,4.0,2.6,0.0
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,55-64 years,3.8,2.5,0.0
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,15-29 years,3.9,1.8,2.1
2016,Ontario,      Recent immigrants 5+ years,   14 - 25 weeks,25-64 years,17.2,7.7,9.5
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,15 years and over,1.9,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,15-24 years ,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,25 years and over,1.7,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,25-44 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,45 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,25-54 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,55 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,55-64 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,65 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,15-29 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   26 weeks ,25-64 years,1.7,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,15 years and over,35.2,20.5,14.7
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,15-24 years ,1.8,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,25 years and over,33.4,19.3,14.2
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,25-44 years,10.7,4.4,6.3
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,45 years and over,22.7,14.9,7.8
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,25-54 years,20.5,10.5,10.0
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,55 years and over,12.9,8.8,4.1
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,55-64 years,10.9,7.3,3.7
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,65 years and over,2.0,1.5,0.0
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,15-29 years,4.7,2.8,1.9
2016,Ontario,      Recent immigrants 5+ years,   27 weeks or more,25-64 years,31.4,17.7,13.7
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,15 years and over,14.5,7.1,7.5
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,15-24 years ,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,25 years and over,13.6,6.6,7.0
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,25-44 years,5.4,1.6,3.9
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,45 years and over,8.2,5.1,3.1
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,25-54 years,9.2,3.5,5.7
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,55 years and over,4.4,3.1,0.0
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,55-64 years,4.1,2.9,0.0
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,15-29 years,2.5,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      27 - 51 weeks,25-64 years,13.4,6.5,6.9
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,15 years and over,7.5,3.7,3.9
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,15-24 years ,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,25 years and over,7.3,3.4,3.9
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,25-44 years,2.1,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,45 years and over,5.1,2.7,2.5
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,25-54 years,4.4,1.9,2.5
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,55 years and over,2.8,1.5,0.0
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,55-64 years,2.2,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,65 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,15-29 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      52 weeks,25-64 years,6.6,2.9,3.7
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,15 years and over,13.1,9.8,3.4
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,15-24 years ,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,25 years and over,12.6,9.2,3.4
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,25-44 years,3.2,2.1,0.0
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,45 years and over,9.4,7.1,2.2
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,25-54 years,6.9,5.0,1.8
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,55 years and over,5.7,4.2,1.5
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,55-64 years,4.6,3.3,0.0
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,65 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,15-29 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,      53 weeks or more,25-64 years,11.5,8.4,3.2
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,15 years and over,3.8,1.6,2.1
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,15-24 years ,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,25 years and over,3.0,0.0,1.6
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,25-44 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,45 years and over,1.9,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,25-54 years,1.9,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,55 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,55-64 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,65 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,15-29 years,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,   Duration unknown,25-64 years,3.0,0.0,1.6
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),15 years and over,23.2,27.4,18.9
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),15-24 years ,10.8,11.8,9.3
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),25 years and over,25.4,30.6,20.3
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),25-44 years,20.3,21.5,19.4
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),45 years and over,29.0,35.7,21.1
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),25-54 years,22.2,25.7,19.1
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),55 years and over,33.0,39.7,23.9
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),55-64 years,29.9,35.8,22.4
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),65 years and over,55.6,64.5,0.0
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),15-29 years,13.2,13.8,12.4
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (no top-code),25-64 years,24.2,28.8,19.8
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2016,Ontario,      Recent immigrants 5+ years,Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
